"ts_code";"symbol";"name";"area";"industry";"fullname";"enname";"market";"exchange";"curr_type";"list_status";"list_date";"delist_date";"is_hs";"live_year"
"605066.SH";"605066";"天正电气";"浙江";"电气设备";"浙江天正电气股份有限公司";"Zhejiang Tengen Electrics Co.,Ltd.";"主板";"SSE";"CNY";"L";"2020";"";"N";"2"
"605068.SH";"605068";"明新旭腾";"浙江";"汽车配件";"明新旭腾新材料股份有限公司";"Mingxin Automotive Leather Co., Ltd.";"主板";"SSE";"CNY";"L";"2020";"";"N";"2"
"605069.SH";"605069";"正和生态";"北京";"环境保护";"北京正和恒基滨水生态环境治理股份有限公司";"Beijing Zeho Waterfront Ecological Environment Treatment Co.,Ltd.";"主板";"SSE";"CNY";"L";"2021";"";"N";"1"
"605077.SH";"605077";"华康股份";"浙江";"食品";"浙江华康药业股份有限公司";"Zhejiang Huakang Pharmaceutical Co., Ltd.";"主板";"SSE";"CNY";"L";"2021";"";"N";"1"
"605080.SH";"605080";"浙江自然";"浙江";"纺织";"浙江大自然户外用品股份有限公司";"Zhejiang Natural Outdoor Goods Inc.";"主板";"SSE";"CNY";"L";"2021";"";"N";"1"
"605081.SH";"605081";"太和水";"上海";"环境保护";"上海太和水科技发展股份有限公司";"Shanghai Taihe Water Technology Development Co., Ltd.";"主板";"SSE";"CNY";"L";"2021";"";"N";"1"
"605086.SH";"605086";"龙高股份";"福建";"矿物制品";"龙岩高岭土股份有限公司";"Longyan Kaolin Clay Co., Ltd.";"主板";"SSE";"CNY";"L";"2021";"";"N";"1"
"605088.SH";"605088";"冠盛股份";"浙江";"汽车配件";"温州市冠盛汽车零部件集团股份有限公司";"Gsp Automotive Group Wenzhou Co.,Ltd.";"主板";"SSE";"CNY";"L";"2020";"";"N";"2"
"605089.SH";"605089";"味知香";"江苏";"食品";"苏州市味知香食品股份有限公司";"Suzhou Weizhixiang Food Co., Ltd.";"主板";"SSE";"CNY";"L";"2021";"";"N";"1"
"605090.SH";"605090";"九丰能源";"江西";"供气供热";"江西九丰能源股份有限公司";"Jiangxi Jovo Energy Co., Ltd.";"主板";"SSE";"CNY";"L";"2021";"";"N";"1"
"605098.SH";"605098";"行动教育";"上海";"文教休闲";"上海行动教育科技股份有限公司";"Shanghai Action Education Technology Co.,Ltd";"主板";"SSE";"CNY";"L";"2021";"";"N";"1"
