"ppe_ta";"ts_code";"time"
"0.976775";"000423";"2015"
"0.981442";"000423";"2016"
"0.973356";"000423";"2017"
"0.969561";"000423";"2018"
"0.963524";"000423";"2019"
"0.95955";"000423";"2020"
"0.926635";"000425";"2009"
"0.953863";"000425";"2010"
"0.961808";"000425";"2011"
"0.957733";"000425";"2012"
"0.956172";"000425";"2013"
"0.955212";"000425";"2014"
"0.964933";"000425";"2015"
"0.958603";"000425";"2016"
"0.960155";"000425";"2017"
"0.964045";"000425";"2018"
"0.968988";"000425";"2019"
"0.972837";"000425";"2020"
"0.760294";"000426";"2009"
"0.761148";"000426";"2010"
"0.534343";"000426";"2011"
"0.588586";"000426";"2012"
"0.690632";"000426";"2013"
"0.618288";"000426";"2014"
"0.621934";"000426";"2015"
"0.605962";"000426";"2016"
"0.587744";"000426";"2017"
"0.584279";"000426";"2018"
"0.616163";"000426";"2019"
"0.632664";"000426";"2020"
"0.954625";"000428";"2009"
"0.953169";"000428";"2010"
"0.963779";"000428";"2011"
"0.938716";"000428";"2012"
"0.945864";"000428";"2013"
"0.945118";"000428";"2014"
"0.949121";"000428";"2015"
"0.935462";"000428";"2016"
"0.938068";"000428";"2017"
"0.924438";"000428";"2018"
"0.92686";"000428";"2019"
"0.923902";"000428";"2020"
"0.992558";"000429";"2009"
"0.994372";"000429";"2010"
"0.995495";"000429";"2011"
"0.996544";"000429";"2012"
"0.99958";"000429";"2013"
"0.999596";"000429";"2014"
"0.999661";"000429";"2015"
"0.999618";"000429";"2016"
"0.999571";"000429";"2017"
"0.999648";"000429";"2018"
"0.999638";"000429";"2019"
"0.984688";"000429";"2020"
"0.798989";"000430";"2009"
"0.859324";"000430";"2010"
"0.91746";"000430";"2011"
"0.841108";"000430";"2012"
"0.870365";"000430";"2013"
"0.887103";"000430";"2014"
"0.898196";"000430";"2015"
"0.481299";"000430";"2016"
"0.562473";"000430";"2017"
"0.601485";"000430";"2018"
"0.637462";"000430";"2019"
"0.663643";"000430";"2020"
"0.952727";"000488";"2009"
"0.957815";"000488";"2010"
"0.966307";"000488";"2011"
"0.969895";"000488";"2012"
"0.970841";"000488";"2013"
"0.976428";"000488";"2014"
"0.980978";"000488";"2015"
"0.981026";"000488";"2016"
"0.980312";"000488";"2017"
"0.981529";"000488";"2018"
"0.981757";"000488";"2019"
"0.980262";"000488";"2020"
"1";"000498";"2009"
"0.997849";"000498";"2010"
"0.991825";"000498";"2011"
"0.997212";"000498";"2012"
"0.997441";"000498";"2013"
"0.997043";"000498";"2014"
"0.997322";"000498";"2015"
"0.997162";"000498";"2016"
"0.997863";"000498";"2017"
"0.997672";"000498";"2018"
"0.998327";"000498";"2019"
"0.995159";"000498";"2020"
"0.794634";"000501";"2009"
"0.823042";"000501";"2010"
"0.866778";"000501";"2011"
"0.854851";"000501";"2012"
"0.864686";"000501";"2013"
