"ts_code";"bigdata_num";"data_warehouse";"cloud_computing";"information_assets";"digitization";"ann_date";"year"
"600790";"0";"0";"0";"0";"0";"2017";"2017"
"600790";"0";"0";"0";"0";"0";"2018";"2018"
"603360";"0";"0";"0";"0";"0";"2017";"2017"
"600790";"0";"0";"0";"0";"0";"2019";"2019"
"600791";"0";"0";"0";"0";"0";"2009";"2009"
"603360";"0";"0";"0";"0";"0";"2018";"2018"
"600791";"0";"0";"0";"0";"0";"2010";"2010"
"600791";"0";"0";"0";"0";"0";"2011";"2011"
"600791";"0";"0";"0";"0";"0";"2012";"2012"
"600600";"0";"0";"0";"0";"0";"2015";"2015"
"603360";"0";"0";"0";"0";"0";"2019";"2019"
"603365";"0";"0";"0";"0";"0";"2017";"2017"
"600600";"0";"0";"0";"0";"0";"2016";"2016"
"600600";"0";"0";"0";"0";"0";"2017";"2017"
"600600";"0";"0";"0";"0";"0";"2018";"2018"
"600600";"0";"0";"0";"0";"1";"2019";"2019"
"600791";"0";"0";"0";"0";"0";"2013";"2013"
"000510";"0";"0";"0";"0";"0";"2009";"2009"
"603365";"0";"0";"0";"0";"0";"2018";"2018"
"600791";"0";"0";"0";"0";"0";"2014";"2014"
"603365";"0";"0";"0";"0";"0";"2019";"2019"
"603365";"1";"0";"0";"0";"0";"2020";"2020"
"600791";"0";"0";"0";"0";"0";"2015";"2015"
"603366";"0";"0";"0";"0";"0";"2012";"2012"
"603366";"0";"0";"0";"0";"0";"2013";"2013"
"603366";"0";"0";"0";"0";"0";"2014";"2014"
"600791";"0";"0";"0";"0";"0";"2016";"2016"
"600791";"0";"0";"0";"0";"0";"2017";"2017"
"600791";"0";"0";"0";"0";"0";"2018";"2018"
"600602";"0";"0";"0";"0";"0";"2009";"2009"
"603366";"0";"0";"0";"0";"0";"2015";"2015"
"603366";"0";"0";"0";"0";"0";"2016";"2016"
"600602";"0";"0";"0";"0";"0";"2010";"2010"
"600791";"0";"0";"0";"0";"0";"2019";"2019"
"600792";"0";"0";"0";"0";"0";"2009";"2009"
"600602";"0";"0";"0";"0";"0";"2011";"2011"
"600602";"0";"0";"3";"0";"0";"2012";"2012"
"600602";"1";"0";"1";"0";"0";"2013";"2013"
"600792";"0";"0";"0";"0";"0";"2010";"2010"
"603366";"0";"0";"0";"0";"0";"2017";"2017"
"600792";"0";"0";"0";"0";"0";"2011";"2011"
"000510";"0";"0";"0";"0";"0";"2010";"2010"
"600792";"0";"0";"0";"0";"0";"2012";"2012"
"000510";"0";"0";"0";"0";"0";"2011";"2011"
"000510";"0";"0";"0";"0";"0";"2012";"2012"
"000510";"0";"0";"0";"0";"0";"2013";"2013"
"600792";"0";"0";"0";"0";"0";"2013";"2013"
"600792";"0";"0";"0";"0";"0";"2014";"2014"
"000510";"0";"0";"0";"0";"0";"2015";"2015"
"000510";"0";"0";"0";"0";"0";"2016";"2016"
"600602";"0";"0";"0";"0";"0";"2014";"2014"
"600602";"0";"0";"0";"0";"0";"2015";"2015"
"600602";"0";"0";"1";"0";"0";"2016";"2016"
"603366";"0";"0";"0";"0";"0";"2018";"2018"
"603366";"0";"0";"0";"0";"0";"2019";"2019"
"603366";"0";"0";"0";"0";"0";"2020";"2020"
"603367";"0";"0";"0";"0";"0";"2017";"2017"
"603367";"0";"0";"0";"0";"0";"2018";"2018"
"600792";"0";"0";"0";"0";"0";"2015";"2015"
"000510";"0";"0";"0";"0";"0";"2017";"2017"
"600602";"0";"0";"0";"0";"0";"2017";"2017"
"600602";"2";"0";"3";"0";"1";"2018";"2018"
"000510";"0";"0";"0";"0";"0";"2018";"2018"
"603367";"0";"0";"0";"0";"0";"2019";"2019"
"603368";"0";"0";"0";"0";"0";"2014";"2014"
"603368";"1";"0";"1";"0";"0";"2015";"2015"
"603368";"1";"0";"0";"0";"0";"2016";"2016"
"600792";"0";"0";"0";"0";"0";"2016";"2016"
