"tuobinQ";"ts_code";"time"
"1.744992";"000400";"2015"
"1.549823";"000400";"2016"
"1.338";"000400";"2017"
"1.04191";"000400";"2018"
"1.144651";"000400";"2019"
"1.725294";"000401";"2009"
"1.639926";"000401";"2010"
"1.185305";"000401";"2011"
"1.113358";"000401";"2012"
"0.948378";"000401";"2013"
"1.085262";"000401";"2014"
"1.081246";"000401";"2015"
"1.117317";"000401";"2016"
"0.884719";"000401";"2018"
"0.902603";"000401";"2019"
"1.322826";"000402";"2009"
"1.051051";"000402";"2010"
"0.99696";"000402";"2011"
"0.991255";"000402";"2012"
"0.886732";"000402";"2013"
"1.114637";"000402";"2014"
"1.051621";"000402";"2015"
"0.996939";"000402";"2016"
"0.996014";"000402";"2017"
"0.879203";"000402";"2018"
"0.909225";"000402";"2019"
"2.973402";"000403";"2013"
"3.450648";"000403";"2014"
"4.937783";"000403";"2015"
"5.540934";"000403";"2016"
"6.518178";"000403";"2017"
"5.611985";"000403";"2018"
"7.266071";"000403";"2019"
"1.495366";"000404";"2009"
"1.402108";"000404";"2010"
"1.083916";"000404";"2011"
"1.114887";"000404";"2012"
"1.086944";"000404";"2013"
"1.244183";"000404";"2014"
"1.287618";"000404";"2015"
"1.288655";"000404";"2016"
"1.041399";"000404";"2017"
"0.848913";"000404";"2018"
"0.852719";"000404";"2019"
"2.326469";"000407";"2009"
"1.827257";"000407";"2010"
"1.341502";"000407";"2011"
"1.910792";"000407";"2012"
"1.62706";"000407";"2013"
"1.555326";"000407";"2014"
"1.891853";"000407";"2015"
"1.982845";"000407";"2016"
"1.676033";"000407";"2017"
"1.074226";"000407";"2018"
"1.0338";"000407";"2019"
"5.1138";"000408";"2009"
"7.366561";"000408";"2010"
"4.639721";"000408";"2011"
"4.953582";"000408";"2012"
"3.275864";"000408";"2013"
"6.541035";"000408";"2014"
"11.618832";"000408";"2015"
"1.419211";"000408";"2016"
"1.831771";"000408";"2017"
"1.35647";"000408";"2018"
"1.16764";"000408";"2019"
"27.834094";"000409";"2009"
"25.166843";"000409";"2010"
"17.406515";"000409";"2011"
"2.287018";"000409";"2012"
"2.00596";"000409";"2013"
"1.669129";"000409";"2014"
"1.601758";"000409";"2015"
"1.654491";"000409";"2016"
"1.206547";"000409";"2017"
"1.122728";"000409";"2018"
"1.245476";"000409";"2019"
"1.52151";"000410";"2009"
"1.474019";"000410";"2010"
"1.169889";"000410";"2011"
"1.131163";"000410";"2012"
"1.074179";"000410";"2013"
"1.328115";"000410";"2014"
"1.732485";"000410";"2015"
"1.366461";"000410";"2016"
"1.291318";"000410";"2017"
"1.221964";"000410";"2018"
"2.435484";"000410";"2019"
"1.609922";"000411";"2009"
"1.673066";"000411";"2010"
"1.295584";"000411";"2011"
"1.167433";"000411";"2012"
"1.196414";"000411";"2013"
"1.652755";"000411";"2015"
"1.413037";"000411";"2016"
"1.244583";"000411";"2017"
"1.059873";"000411";"2018"
"1.004493";"000411";"2019"
"8.486374";"000413";"2009"
"12.53296";"000413";"2010"
"9.548304";"000413";"2011"
"2.650664";"000413";"2012"
"1.341245";"000413";"2013"
"1.378424";"000413";"2015"
"1.42553";"000413";"2016"
"1.222921";"000413";"2017"
"0.903347";"000413";"2018"
"0.833206";"000413";"2019"
"3.06706";"000415";"2009"
"3.331674";"000415";"2010"
"0.998287";"000415";"2011"
"0.985885";"000415";"2012"
"1.009934";"000415";"2013"
"1.123125";"000415";"2014"
"0.996472";"000415";"2015"
"1.015075";"000415";"2016"
"1.00035";"000415";"2017"
"0.93412";"000415";"2018"
"0.932873";"000415";"2019"
"4.103186";"000416";"2009"
"4.08496";"000416";"2010"
"3.095959";"000416";"2011"
"3.165586";"000416";"2012"
